response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2368,0.0000,0.0000,0.0000,1.2367,0.0000,200,2.7730
1.2833,0.0000,0.0000,0.0000,1.2833,0.0000,200,2.7345
1.3645,0.0000,0.0000,0.0000,1.3645,0.0000,200,2.6585
1.1352,0.0000,0.0000,0.0000,1.1352,0.0000,200,2.8887
1.3357,0.0000,0.0000,0.0000,1.3356,0.0000,200,2.6927
1.4452,0.0000,0.0000,0.0000,1.4451,0.0000,200,2.6067
1.3760,0.0000,0.0000,0.0000,1.3759,0.0000,200,2.6789
1.2089,0.0000,0.0000,0.0000,1.2088,0.0000,200,2.8714
1.3233,0.0000,0.0000,0.0000,1.3232,0.0000,200,2.7582
1.4385,0.0000,0.0000,0.0000,1.4384,0.0000,200,2.6543
1.3752,0.0000,0.0000,0.0000,1.3751,0.0000,200,2.7390
1.4060,0.0000,0.0000,0.0000,1.4059,0.0000,200,2.7120
1.2112,0.0000,0.0000,0.0000,1.2111,0.0000,200,2.9085
1.5277,0.0000,0.0000,0.0000,1.5276,0.0000,200,2.5984
1.3144,0.0000,0.0000,0.0000,1.3144,0.0000,200,2.8247
1.3958,0.0000,0.0000,0.0000,1.3958,0.0000,200,2.7498
1.4111,0.0000,0.0000,0.0000,1.4110,0.0000,200,2.7857
1.3282,0.0000,0.0000,0.0000,1.3281,0.0000,200,2.8970
1.4872,0.0000,0.0000,0.0000,1.4871,0.0000,200,2.7681
1.4409,0.0000,0.0000,0.0000,1.4408,0.0000,200,2.8941
1.4057,0.0000,0.0000,0.0000,1.4056,0.0001,200,2.9539
1.5385,0.0000,0.0000,0.0000,1.5384,0.0000,200,2.8851
1.3899,0.0000,0.0000,0.0000,1.3898,0.0000,200,3.0719
1.5713,0.0000,0.0000,0.0000,1.5713,0.0001,200,2.9172
1.4533,0.0000,0.0000,0.0000,1.4532,0.0000,200,3.0599
1.1686,0.0000,0.0000,0.0000,1.1685,0.0001,200,3.4806
1.1702,0.0000,0.0000,0.0000,1.1702,0.0001,200,3.5923
1.2630,0.0000,0.0000,0.0000,1.2630,0.0000,200,3.5298
1.2674,0.0000,0.0000,0.0000,1.2673,0.0001,200,3.6447
1.2372,0.0000,0.0000,0.0000,1.2372,0.0000,200,3.7324
1.2120,0.0000,0.0000,0.0000,1.2119,0.0000,200,3.8125
1.4574,0.0000,0.0000,0.0000,1.4573,0.0000,200,3.6014
1.4977,0.0000,0.0000,0.0000,1.4977,0.0000,200,3.5654
1.1881,0.0000,0.0000,0.0000,1.1880,0.0000,200,3.8791
1.2174,0.0000,0.0000,0.0000,1.2174,0.0000,200,3.8595
1.3932,0.0000,0.0000,0.0000,1.3931,0.0000,200,3.6895
1.3309,0.0000,0.0000,0.0000,1.3308,0.0000,200,3.7808
1.3365,0.0000,0.0000,0.0000,1.3364,0.0000,200,3.7928
1.2630,0.0000,0.0000,0.0000,1.2630,0.0000,200,3.8689
1.1620,0.0000,0.0000,0.0000,1.1620,0.0000,200,3.9858
1.3939,0.0000,0.0000,0.0000,1.3938,0.0001,200,3.7766
1.0580,0.0000,0.0000,0.0000,1.0579,0.0000,200,4.1260
1.3558,0.0000,0.0000,0.0000,1.3557,0.0001,200,3.8551
1.3535,0.0000,0.0000,0.0000,1.3534,0.0001,200,3.8953
1.1807,0.0000,0.0000,0.0000,1.1807,0.0000,200,4.0803
1.3310,0.0000,0.0000,0.0000,1.3309,0.0000,200,3.9406
1.2823,0.0000,0.0000,0.0000,1.2822,0.0000,200,4.0098
